,B,G,R
107202.0,141.0,202.0,252.0
107229.0,146.0,157.0,165.0
107231.0,118.0,135.0,156.0
107261.0,132.0,179.0,211.0
107268.0,92.0,167.0,206.0
107272.0,131.0,199.0,242.0
107290.0,136.0,178.0,213.0
107298.0,150.0,211.0,255.0
107314.0,96.0,162.0,227.0
107355.0,148.0,185.0,229.0
107374.0,172.0,158.0,164.0
107379.0,151.0,200.0,244.0
107383.0,108.0,182.0,230.0
107388.0,177.0,218.0,250.0
107394.0,171.0,213.0,250.0
107403.0,107.0,189.0,231.0
107406.0,154.0,179.0,211.0
107415.0,120.0,180.0,232.0
107422.0,94.0,146.0,182.0
107434.0,120.0,160.0,189.0
107435.0,134.0,178.0,201.0
107454.0,129.0,120.0,111.0
107461.0,128.0,196.0,241.0
107466.0,131.0,205.0,255.0
107480.0,98.0,171.0,193.0
107496.0,110.0,151.0,183.0
107510.0,128.0,184.0,231.0
107517.0,122.0,178.0,219.0
107521.0,114.0,156.0,185.0
107524.0,113.0,153.0,165.0
107527.0,122.0,164.0,201.0
107539.0,140.0,167.0,188.0
107553.0,138.0,200.0,241.0
107555.0,110.0,141.0,166.0
107559.0,105.0,163.0,199.0
107560.0,250.0,202.0,196.0
107562.0,126.0,172.0,190.0
107563.0,156.0,149.0,170.0
107573.0,123.0,195.0,229.0
107576.0,105.0,173.0,226.0
107583.0,117.0,167.0,209.0
107593.0,114.0,196.0,238.0
107597.0,94.0,141.0,197.0
107606.0,106.0,173.0,206.0
107608.0,132.0,197.0,236.0
107610.0,99.0,186.0,212.0
107613.0,144.0,203.0,252.0
107616.0,123.0,147.0,159.0
107619.0,119.0,179.0,215.0
107627.0,99.0,159.0,205.0
107629.0,99.0,139.0,187.0
107631.0,183.0,169.0,193.0
107660.0,104.0,158.0,189.0
107688.0,103.0,182.0,233.0
107692.0,118.0,187.0,214.0
107709.0,150.0,166.0,183.0
107720.0,93.0,153.0,205.0
107736.0,145.0,196.0,222.0
107745.0,193.0,190.0,182.0
107747.0,123.0,160.0,180.0
107794.0,134.0,191.0,206.0
107810.0,110.0,161.0,217.0
107823.0,170.0,161.0,187.0
107828.0,128.0,197.0,240.0
107831.0,124.0,182.0,224.0
107849.0,157.0,209.0,250.0
107859.0,137.0,157.0,212.0
107888.0,155.0,218.0,252.0
107943.0,152.0,201.0,233.0
107946.0,133.0,196.0,247.0
107951.0,116.0,160.0,197.0
107954.0,163.0,164.0,192.0
107961.0,140.0,197.0,229.0
107966.0,122.0,176.0,217.0
107967.0,110.0,199.0,236.0
107972.0,118.0,140.0,158.0
107975.0,189.0,171.0,172.0
107985.0,117.0,194.0,233.0
107987.0,130.0,161.0,206.0
108012.0,125.0,198.0,242.0
108017.0,149.0,202.0,245.0
108038.0,131.0,197.0,238.0
108041.0,122.0,181.0,207.0
108051.0,135.0,193.0,235.0
108066.0,142.0,197.0,242.0
108088.0,134.0,158.0,188.0
108103.0,217.0,134.0,159.0
108105.0,113.0,188.0,234.0
108111.0,113.0,167.0,230.0
108146.0,101.0,161.0,207.0
108160.0,141.0,196.0,239.0
108182.0,146.0,205.0,225.0
108195.0,139.0,204.0,243.0
108207.0,175.0,162.0,186.0
108225.0,107.0,177.0,214.0
108251.0,96.0,94.0,94.0
108272.0,129.0,192.0,230.0
108305.0,129.0,182.0,225.0
108326.0,112.0,178.0,231.0
108481.0,118.0,186.0,221.0
108497.0,120.0,185.0,223.0
108507.0,120.0,151.0,166.0
108545.0,190.0,169.0,172.0
108551.0,156.0,215.0,254.0
108574.0,98.0,153.0,198.0
108580.0,155.0,172.0,185.0
108584.0,146.0,103.0,88.0
108601.0,171.0,169.0,169.0
108608.0,116.0,190.0,232.0
108624.0,70.0,154.0,202.0
108642.0,146.0,162.0,205.0
108645.0,116.0,179.0,217.0
108649.0,115.0,156.0,195.0
108661.0,124.0,198.0,240.0
108672.0,106.0,168.0,209.0
108692.0,119.0,186.0,235.0
108715.0,128.0,186.0,215.0
108717.0,125.0,199.0,227.0
108742.0,127.0,191.0,226.0
108757.0,123.0,187.0,221.0
108764.0,226.0,147.0,134.0
108772.0,132.0,152.0,169.0
108779.0,127.0,196.0,235.0
108786.0,158.0,186.0,221.0
108914.0,150.0,168.0,191.0
108917.0,67.0,142.0,188.0
108920.0,146.0,195.0,233.0
108928.0,155.0,230.0,244.0
108929.0,222.0,226.0,254.0
108947.0,104.0,156.0,192.0
108952.0,142.0,203.0,229.0
108959.0,199.0,224.0,250.0
108961.0,137.0,161.0,185.0
108979.0,126.0,206.0,247.0
108985.0,133.0,175.0,204.0
108988.0,141.0,206.0,245.0
108991.0,153.0,168.0,230.0
108994.0,188.0,173.0,224.0
109011.0,163.0,202.0,247.0
109033.0,72.0,165.0,210.0
109074.0,157.0,213.0,248.0
109083.0,102.0,151.0,199.0
109096.0,133.0,196.0,234.0
109098.0,110.0,185.0,223.0
109112.0,116.0,128.0,138.0
109124.0,138.0,145.0,154.0
109127.0,109.0,191.0,222.0
109132.0,136.0,194.0,229.0
109135.0,122.0,151.0,166.0
109155.0,121.0,201.0,242.0
109180.0,109.0,182.0,226.0
109215.0,159.0,126.0,111.0
109255.0,130.0,170.0,195.0
109266.0,139.0,121.0,110.0
109282.0,150.0,211.0,245.0
109292.0,140.0,156.0,179.0
109330.0,119.0,177.0,236.0
109333.0,79.0,148.0,188.0
109360.0,163.0,181.0,210.0
109361.0,112.0,150.0,180.0
109366.0,128.0,152.0,176.0
109380.0,129.0,138.0,175.0
109402.0,116.0,104.0,102.0
109404.0,91.0,148.0,187.0
109414.0,164.0,172.0,231.0
109422.0,132.0,174.0,203.0
109449.0,117.0,149.0,185.0
109509.0,101.0,185.0,233.0
109529.0,129.0,180.0,220.0
109568.0,130.0,193.0,227.0
109595.0,123.0,121.0,133.0
109623.0,131.0,200.0,239.0
109629.0,111.0,190.0,223.0
109630.0,128.0,168.0,217.0
109682.0,122.0,206.0,242.0
109688.0,121.0,158.0,180.0
109699.0,154.0,211.0,232.0
109715.0,135.0,138.0,146.0
109718.0,82.0,151.0,220.0
109727.0,155.0,177.0,195.0
109740.0,194.0,193.0,213.0
109744.0,177.0,153.0,153.0
109750.0,177.0,131.0,114.0
109772.0,127.0,193.0,222.0
109780.0,148.0,194.0,241.0
109827.0,170.0,165.0,192.0
109868.0,108.0,131.0,147.0
109879.0,89.0,153.0,194.0
109885.0,132.0,184.0,230.0
109888.0,126.0,175.0,215.0
109946.0,137.0,187.0,239.0
109977.0,136.0,191.0,228.0
110034.0,118.0,160.0,197.0
110063.0,128.0,120.0,137.0
110074.0,110.0,188.0,231.0
110076.0,132.0,191.0,241.0
110109.0,99.0,163.0,204.0
110118.0,123.0,175.0,216.0
110121.0,132.0,191.0,231.0
110129.0,116.0,191.0,237.0
110139.0,93.0,170.0,219.0
110149.0,118.0,115.0,117.0
110178.0,110.0,181.0,219.0
110195.0,140.0,207.0,232.0
110217.0,164.0,171.0,196.0
110250.0,104.0,127.0,153.0
110285.0,104.0,164.0,216.0
110306.0,115.0,179.0,213.0
110313.0,175.0,220.0,247.0
110339.0,97.0,159.0,199.0
110348.0,125.0,191.0,220.0
110349.0,145.0,145.0,161.0
110364.0,222.0,173.0,219.0
110370.0,136.0,207.0,240.0
110375.0,132.0,203.0,240.0
110384.0,117.0,163.0,211.0
110388.0,149.0,218.0,255.0
110389.0,95.0,182.0,222.0
110404.0,147.0,171.0,195.0
110411.0,97.0,165.0,218.0
110429.0,69.0,125.0,174.0
110465.0,172.0,214.0,251.0
110466.0,87.0,173.0,239.0
110480.0,139.0,203.0,238.0
110521.0,113.0,181.0,234.0
110528.0,120.0,123.0,137.0
110538.0,100.0,164.0,198.0
110566.0,100.0,105.0,108.0
110596.0,144.0,165.0,193.0
110619.0,133.0,149.0,155.0
110633.0,129.0,153.0,173.0
110636.0,101.0,183.0,231.0
110676.0,113.0,129.0,145.0
110678.0,109.0,200.0,221.0
110695.0,98.0,135.0,149.0
110707.0,144.0,212.0,241.0
110710.0,142.0,181.0,226.0
110713.0,76.0,148.0,195.0
110719.0,175.0,213.0,245.0
110746.0,116.0,173.0,205.0
110763.0,152.0,153.0,167.0
110789.0,114.0,135.0,150.0
110805.0,85.0,172.0,216.0
110808.0,116.0,175.0,231.0
110821.0,90.0,161.0,205.0
110837.0,114.0,112.0,118.0
110844.0,139.0,194.0,245.0
110858.0,144.0,190.0,221.0
110887.0,185.0,174.0,190.0
110923.0,99.0,184.0,240.0
110964.0,199.0,180.0,219.0
110966.0,122.0,174.0,215.0
111022.0,120.0,122.0,132.0
111038.0,242.0,173.0,154.0
111121.0,114.0,150.0,190.0
111123.0,127.0,172.0,215.0
111125.0,167.0,180.0,202.0
111141.0,138.0,180.0,209.0
111142.0,135.0,198.0,249.0
111149.0,104.0,190.0,232.0
111175.0,114.0,187.0,217.0
111182.0,132.0,202.0,232.0
111207.0,148.0,173.0,193.0
111223.0,127.0,196.0,239.0
111240.0,186.0,191.0,216.0
111245.0,162.0,155.0,176.0
111259.0,124.0,184.0,213.0
111266.0,122.0,177.0,214.0
111274.0,124.0,187.0,231.0
111286.0,109.0,171.0,207.0
111298.0,190.0,202.0,226.0
111302.0,112.0,179.0,212.0
111305.0,135.0,169.0,198.0
111312.0,86.0,165.0,214.0
111383.0,94.0,174.0,237.0
111398.0,160.0,195.0,238.0
111399.0,164.0,213.0,253.0
111411.0,132.0,199.0,244.0
111417.0,114.0,185.0,218.0
111428.0,163.0,154.0,157.0
111481.0,143.0,203.0,255.0
111484.0,74.0,152.0,252.0
111491.0,103.0,150.0,204.0
111499.0,98.0,160.0,208.0
111514.0,150.0,186.0,224.0
111534.0,120.0,167.0,199.0
111552.0,171.0,142.0,151.0
111553.0,129.0,170.0,203.0
111597.0,76.0,161.0,201.0
111615.0,106.0,165.0,210.0
111622.0,116.0,173.0,195.0
111658.0,134.0,137.0,142.0
111660.0,154.0,159.0,168.0
111667.0,211.0,161.0,155.0
111681.0,177.0,201.0,213.0
111715.0,141.0,175.0,211.0
111716.0,141.0,148.0,167.0
111725.0,106.0,133.0,147.0
111727.0,135.0,211.0,253.0
111743.0,101.0,175.0,199.0
111753.0,154.0,201.0,228.0
111770.0,121.0,176.0,233.0
111775.0,106.0,142.0,182.0
111791.0,121.0,148.0,182.0
111792.0,147.0,195.0,237.0
111793.0,123.0,194.0,232.0
111799.0,137.0,170.0,196.0
111804.0,116.0,180.0,228.0
111834.0,98.0,112.0,135.0
111839.0,145.0,186.0,208.0
111858.0,147.0,141.0,136.0
111879.0,106.0,163.0,202.0
111882.0,126.0,125.0,135.0
111883.0,102.0,154.0,177.0
111910.0,141.0,175.0,228.0
111924.0,126.0,182.0,217.0
111937.0,134.0,135.0,173.0
111979.0,168.0,168.0,186.0
111980.0,153.0,200.0,244.0
112016.0,149.0,201.0,238.0
112017.0,113.0,149.0,185.0
112034.0,145.0,199.0,222.0
112072.0,125.0,146.0,168.0
112119.0,86.0,155.0,194.0
112122.0,108.0,166.0,201.0
112125.0,118.0,148.0,177.0
112135.0,134.0,187.0,224.0
112148.0,111.0,152.0,177.0
112167.0,160.0,214.0,237.0
112177.0,144.0,196.0,233.0
112188.0,135.0,149.0,177.0
112196.0,160.0,162.0,163.0
112229.0,99.0,186.0,220.0
112245.0,134.0,144.0,161.0
